Keyword,TF-IDF Score
management,13322.47867
,
assistants,5782.519733
engineering,4732.721181
government,4324.571953
sales,3723.26045
project,3701.749883
services,3617.4264
administrative,3471.574697
retail,3416.271158
consultants,3321.139991
business,3315.802067
chefs,3304.620849
cooks,3262.717986
staff,3232.378123
programmers,2976.919549
developers,2976.919549
state,2779.645426
administration,2666.691304
nursing,2648.495789
trades,2609.525181
systems,2595.114766
development,2576.738475
mining,2550.16954
automotive,2369.674211
aged,2340.338587
care,2339.786685
distribution,2174.826809
waiting,2153.200506
medical,2131.254243
storage,2107.694557
warehousing,2107.694557
representatives,2097.577508
analysts,2095.78551
teaching,2015.113829
maintenance,1926.922956
support,1918.151786
electricians,1782
store,1770.144522
programme,1675.375554
general,1580.390838
bar,1562.248235
beverage,1562.248235
architects,1547
reporting,1539.863213
labourers,1535
financial,1532.305138
customer,1492.745595
planning,1420.331055
corporate,1413.35734
supervisors,1372.305689
local,1366.368125
transport,1353.073623
account,1314.360449
law,1303.145595
receptionists,1297
road,1261.431429
property,1255.692776
service,1255.62413
marketing,1251.688081
relationship,1238.243
disability,1230.731209
new,1229.604045
accounting,1215.312503
operations,1206.290733
software,1188.332187
security,1172.35521
technicians,1167.929934
foreperson,1148.566681
federal,1102.900565
accounts,1097.084242
outside,1092.269714
hours,1092.269714
school,1092.269714
childcare,1092.269714
civil,1087.773511
structural,1077.318597
residential,1069.653489
centre,1067.912365
call,1067.912365
ot,1050.77749
rehabilitation,1050.77749
physiotherapy,1050.77749
contracts,1048.298851
dental,1046
analysis,1040.051656
work,1023.804704
recruitment,1023.665991
operators,1008.148964
practitioners,953.3680324
office,918.7883622
client,909.3445617
health,909.3442273
consulting,898.5385399
agency,854.838582
estimating,839
leasing,827.5710725
assistant,825.450047
welders,816.0012255
boilermakers,816.0012255
pharmacy,807
secondary,798.9790883
networks,798.7295131
turners,769.6079088
fitters,769.6079088
machinists,769.6079088
building,762.898275
internal,758.6020062
it,740.4686925
pa,717.0690343
secretarial,717.0690343
ea,717.0690343
help,715.0882933
desk,715.0882933
banking,706.48493
assurance,698.8885848
quality,698.8885848
payroll,695
sandwich,681.8506679
hands,681.8506679
kitchen,681.8506679
advisory,676.370275
safety,668.5461096
communications,668.2008495
hr,666.9874737
generalist,666.9874737
clerks,657.6867839
machine,649.3601631
process,641.1421717
coordinators,638.3166811
surgical,626.6807551
beauty,626.4007779
hair,626.4007779
production,621.7571768
control,612.2931627
commercial,609.7087208
design,602.5714794
training,597.5770391
specialists,597.2745764
early,588.7803551
childhood,588.7803551
department,586.5236796
risk,586.3061623
landscaping,585.4844148
gardening,585.4844148
assembly,576.6708958
psychology,575.2928701
social,575.2928701
counselling,575.2928701
plumbers,567
officers,565.0922352
cabinet,564.071213
carpentry,564.071213
making,564.071213
compliance,563.3548232
child,545.7297722
managers,541.1500228
controllers,541.1500228
legal,540.4134863
environment,537.1074317
claims,536
vocational,533.8637442
employment,532.7592286
secretaries,529.4798215
cleaning,528.4415624
electrical,509.5707831
electronic,509.5707831
family,506.0529555
testing,499.7028066
community,496.2747731
taxation,494
primary,480.7322105
welfare,478.1635035
network,476.6234109
machinery,472.9915163
plant,472.9915163
architecture,466.7995632
drafting,463.7978959
housekeeping,462
credit,456.2818001
scheduling,443.9079983
inventory,439.2415741
product,434.0199662
purchasing,430.8445346
procurement,430.8445346
web,428.7264239
surveying,428
mechanical,423.2428091
leaders,423.1802948
team,423.1802948
youth,415.630474
payable,413.9582754
digital,411.2966808
search,411.2966808
guest,406.7055636
front,406.7055636
budgeting,404.2213771
imaging,397.1913031
database,393.3935813
drivers,392.1588521
couriers,392.1588521
postal,392.1588521
agents,360.0858304
travel,360.0858304
packers,359.2102448
pickers,359.2102448
telecommunications,357
research,354.4158181
branch,348.4004307
handyperson,341.8353716
merchandisers,339
air,334.3296433
relations,330.316667
receivable,330.0581098
conditioning,328.8455536
refrigeration,328.8455536
strategy,328.5285238
accountants,325.9427855
devices,317.3785369
pharmaceuticals,317.3785369
outbound,316.0537456
personal,307.8120709
industrial,306.3752694
facing,303.624859
unit,301.1362885
manager,301.1362885
processing,299.1340574
environmental,293.4623785
post,290.6573105
pre,290.6573105
audit,284.0330355
mortgages,277
student,268.6791305
gas,268.250979
oil,268.250979
occupational,264.6915799
critical,264.1295299
icu,264.1295299
change,255.8712997
policy,254.3916847
tertiary,252.5552897
body,248.4611332
facilities,248.4611332
fitness,247.2039283
generalists,242.1766807
assessment,237.9742885
farm,229.0046214
brand,227.7541035
forensic,226.8840314
inbound,224.2621306
schools,215.9332324
correctional,215.8619052
psych,215.8619052
finance,214.1106642
recovery,211.494348
mgmt,209.7219563
practice,208.0658672
in,206.122329
house,206.122329
funds,203.1847991
interior,200.5143123
superannuation,198.0667481
resolution,196.8764418
litigation,196.8764418
dispute,196.8764418
event,192.2419258
registrars,190.2117241
residents,190.2117241
regulation,189.7190465
exploration,188.5074211
geoscience,188.5074211
brokerage,188
theatre,187.5284919
small,185.1211818
bookkeeping,185.1211818
maternal,182.8595347
graphic,179.8927206
workplace,175.8734336
technical,174.8179867
horticulture,171
public,169.0696623
freight,168.0089283
cargo,168.0089283
forwarding,168.0089283
ceo,163
universities,162.9859285
pathology,161
construction,159.6955906
buying,157.8121945
interaction,157.3467084
clinical,155.863074
drill,153.3522671
blast,153.3522671
sign,151.2657705
painters,151.2657705
writers,151.2657705
architectural,149.1784486
publishing,147.1033494
generation,145.78163
power,145.78163
writing,141.0090712
aviation,140.8767494
paralegals,140.8095386
affairs,140.7238888
rail,140.0727685
maritime,140.0727685
fundraising,140
market,134.8572777
external,130.4281172
organisational,129.0743242
urban,127.1118923
instruction,126.5721138
coaching,126.5721138
entry,125.5441409
data,125.5441409
word,125.5441409
workers,123.0365799
compensation,123.0365799
speech,122.3294731
therapy,122.3294731
area,122.0459036
multi,122.0459036
site,122.0459036
information,120.7655895
fellowships,120.3756814
insurance,119.6876866
geosciences,117.2575555
earth,117.2575555
pastry,114.885889
bakers,114.885889
water,114.510965
laboratory,113.8505377
sciences,111.4880894
records,109.9513665
